server_name,gpu_number,manufacturer,model_name,vram_size_mb
deepb,0,NVIDIA,NVIDIA GeForce RTX 2080 Ti,11264
deepb,1,NVIDIA,NVIDIA RTX A6000,49140
deepb,2,NVIDIA,NVIDIA GeForce RTX 2080 Ti,11264
deepb,3,NVIDIA,NVIDIA RTX A6000,49140
