server_name,gpu_number,manufacturer,model_name,vram_size_mb
deepsea,0,NVIDIA,NVIDIA RTX A6000,49140
deepsea,1,NVIDIA,NVIDIA RTX A6000,49140
deepsea,2,NVIDIA,NVIDIA RTX A6000,49140
deepsea,3,NVIDIA,NVIDIA RTX A6000,49140
deepsea,4,NVIDIA,NVIDIA RTX A6000,49140
deepsea,5,NVIDIA,NVIDIA RTX A6000,49140
deepsea,6,NVIDIA,NVIDIA RTX A6000,49140
deepsea,7,NVIDIA,NVIDIA RTX A6000,49140
